CLAVE CT,NOM TURNO,NOMBRE CT,DOMICILIO,ENTRE CALLE ,Y CALLE,LOCALIDAD INEGI, NOMBRE LOCALIDAD,NOMBRE COLONIA,MUNICIPIO CLAVE INEGI,NOMBRE MUNICIPIO,DIRECTOR,CODIGO POSTAL,TELEFONO,CORREO,ZONA ESCOLAR,SECTOR,SOSTENIM.,NOM SOST.,NIVEL,PROGRAMA,LATITUD,LONGITUD
14DJN0128O,MATUTINO,JUAN DE LA BARRERA,ARQUIMEDES 723,ESTEBAN ALATORRE,AGRONOMOS,1,GUADALAJARA,HERMOSA PROVINCIA,39,GUADALAJARA,OLGA LILIA GARCIA LOPEZ,44770,36080845,olgalilly62@hotmail.com,175,2,24,FEDERALIZADO,PREESCOLAR,GENERAL,20.6708361,-103.2864634
14DJN0129N,MATUTINO,JOSEFA ORTIZ DE DOMINGUEZ,OBREGON 70,JUAREZ,BARCENAS,1,AUTLAN DE NAVARRO,0,15,AUTLAN DE NAVARRO,CELIA GUZMAN PELAYO,48900,3820671,josefao129n@hotmail.com,23,14,24,FEDERALIZADO,PREESCOLAR,GENERAL,19.7711843,-104.3642994
14DJN0130C,MATUTINO,ROSAURA ZAPATA,PEDRO CELESTINO NEGRETE 144,JAVIER MINA,GOMEZ DE MENDIOLA,1,GUADALAJARA,OBLATOS,39,GUADALAJARA,YASMINA  ESTELA COTA CONTRERAS,44380,36185393,14djn0130c@escuelas.sej.gob.mx,67,2,24,FEDERALIZADO,PREESCOLAR,GENERAL,20.6711262,-103.3221527
14DJN0132A,MATUTINO,UNIDAD MODELO,UNIDAD MODELO,D,GRUPO 125,1,GUADALAJARA,UNIDAD MODELO,39,GUADALAJARA,IRMA YOLANDA LOPEZ ESTRADA,44420,36180633,irmiuxyoli@hotmail.es,3,1,24,FEDERALIZADO,PREESCOLAR,GENERAL,20.660017,-103.3284942
14DJN0133Z,MATUTINO,CIPRIANA GUTIERREZ RODRIGUEZ,GREGORIO DAVILA 1081,MANUEL ASPIROS,JOSE MARIA VIGIL,1,GUADALAJARA,MEZQUITAN COUNTRY,39,GUADALAJARA,GABRIELA ELIZABETH DE LA CRUZ SOLORIO,44260,38268160,sarvick2000@yahoo.com.mx,4,1,24,FEDERALIZADO,PREESCOLAR,GENERAL,20.690467,-103.360886
14DJN0134Z,MATUTINO,ROSAURA ZAPATA,CONOCIDO,0,0,40,IZOLTA,0,115,VILLA GUERRERO,GONZALINA GONZALEZ MARQUEZ,46100,0,angelica701122@hotmail.com,81,20,24,FEDERALIZADO,PREESCOLAR,GENERAL,22.01,-103.7463889
14DJN0135Y,MATUTINO,FERNANDO AMILPA,FIDEL VELAZQUEZ 1529,MIGUEL AYON,AV FEDERALISMO,1,GUADALAJARA,ATEMAJAC,39,GUADALAJARA,LAURA PATRICIA RODRIGUEZ ROSAS,44220,38540653,lauradireccion1@hotmail.com,69,1,24,FEDERALIZADO,PREESCOLAR,GENERAL,20.7129311,-103.355771
14DJN0136X,MATUTINO,MIGUEL HIDALGO Y COSTILLA,NACIONAL 248,LOPEZ MATEOS,PORVENIR,11,GENERAL ANDRES FIGUEROA (CATARINA DOS),0,119,ZACOALCO DE TORRES,VERONICA TORIBIO TOSCANO,45765,0,veronica-toribio13@hotmail.com,117,12,24,FEDERALIZADO,PREESCOLAR,GENERAL,20.2963055,-103.6060001
14DJN0137W,MATUTINO,MANUEL LOPEZ COTILLA,NICOLAS BRAVO 40,GUADALUPE VICTORIA,HIDALGO,1,ZAPOTLANEJO,0,124,ZAPOTLANEJO,MARTHA ALICIA LOPEZ DELGADILLO,45430,7342573,14djn0137w@escuelas.sej.gob.mx,7,5,24,FEDERALIZADO,PREESCOLAR,GENERAL,20.6214912,-103.0715458
14DJN0138V,MATUTINO,VIRGINIA GALLARDO,LERDO DE TEJADA 60,SAN MARTIN,RAMON CORONA,1,TEQUILA,TEQUILA (ZONA CENTRO),94,TEQUILA,LEONOR ESTRADA BELTRAN,46400,7424854,14djn0138v@escuelas.sej.gob.mx,19,19,24,FEDERALIZADO,PREESCOLAR,GENERAL,20.8866775,-103.8429809
