Clave municipal,Municipio,ABUSO SEXUAL INFANTIL,FEMINICIDIO,HOMICIDIO DOLOSO,LESIONES DOLOSAS,ROBO A BANCOS,ROBO A CARGA PESADA,ROBO A CUENTAHABIENTES,ROBO A INT DE VEHICULOS,ROBO A NEGOCIO,ROBO A PERSONA,ROBO A VEHICULOS PARTICULARES,ROBO CASA HABITACION,ROBO DE AUTOPARTES,ROBO DE MOTOCICLETA,VIOLACION,VIOLENCIA INTRAFAMILIAR,Total general
1,ACATIC,5,1,0,19,0,1,0,1,3,2,12,12,0,15,0,19,90
2,ACATLÁN DE JUÁREZ,6,0,14,48,0,26,3,7,10,24,41,51,0,13,0,42,285
3,AHUALULCO DE MERCADO,4,0,0,36,0,2,0,1,3,5,8,6,0,10,1,15,91
4,AMACUECA,0,0,2,2,0,0,0,0,0,0,1,0,0,0,0,1,6
5,AMATITÁN,4,0,2,15,0,1,0,2,3,1,10,10,0,0,1,7,56
6,AMECA,11,2,3,73,0,1,10,22,33,35,36,62,2,33,2,125,450
7,SAN JUANITO DE ESCOBEDO,0,0,0,13,0,0,0,0,2,0,2,2,0,0,0,2,21
8,ARANDAS,17,0,3,96,0,2,1,7,20,12,58,30,0,41,0,48,335
9,EL ARENAL,6,0,2,37,0,3,0,8,27,8,29,49,0,3,2,15,189
10,ATEMAJAC DE BRIZUELA,0,0,2,2,0,0,0,0,0,1,1,0,0,0,0,2,8
11,ATENGO,1,0,1,3,0,0,0,0,0,0,0,0,0,0,1,1,7
12,ATENGUILLO,1,0,0,4,0,0,0,0,1,0,1,8,0,1,0,6,22
13,ATOTONILCO EL ALTO,9,0,3,53,0,0,0,6,24,8,25,19,0,42,0,23,212
14,ATOYAC,2,0,2,6,0,0,0,0,0,0,1,1,0,0,0,3,15
15,AUTLÁN DE NAVARRO,26,1,3,129,0,0,0,7,28,14,7,137,2,38,5,160,557
16,AYOTLÁN,4,1,3,13,0,0,0,0,4,4,7,5,0,10,2,11,64
17,AYUTLA,1,0,0,6,0,0,0,0,1,0,1,8,0,0,0,11,28
18,LA BARCA,14,0,3,66,0,8,0,11,22,23,41,39,1,15,3,29,275
19,BOLAÑOS,0,0,2,0,0,0,0,0,1,0,0,1,0,0,1,5,10
20,CABO CORRIENTES,5,0,3,5,0,0,0,1,2,1,4,3,1,1,0,8,34
21,CASIMIRO CASTILLO,7,0,8,7,0,0,0,0,4,0,1,9,1,0,0,5,42
22,CIHUATLÁN,23,1,5,76,0,0,0,4,14,5,19,58,0,9,4,23,241
23,ZAPOTLÁN EL GRANDE,26,0,12,132,0,9,9,45,69,42,94,100,3,65,6,92,704
24,COCULA,10,0,3,16,1,2,4,5,6,4,13,10,3,8,1,24,110
25,COLOTLÁN,7,0,3,37,0,0,0,3,12,5,7,23,2,2,0,19,120
26,CONCEPCIÓN DE BUENOS AIRES,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,3
27,CUAUTITLÁN DE GARCÍA BARRAGÁN,3,0,11,14,0,0,0,0,1,0,1,4,0,0,0,7,41
28,CUAUTLA,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,3
29,CUQUÍO,3,0,0,8,0,0,0,0,3,0,2,10,0,1,0,6,33
30,CHAPALA,13,0,16,120,0,1,1,14,46,24,85,144,8,7,2,50,531
31,CHIMALTITÁN,0,0,2,3,0,0,0,0,1,0,1,0,0,0,0,1,8
32,CHIQUILISTLÁN,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2
33,DEGOLLADO,1,0,1,12,0,1,0,3,4,2,12,12,0,2,0,3,53
34,EJUTLA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
35,ENCARNACIÓN DE DÍAZ,8,0,13,34,0,1,0,1,17,3,31,16,1,22,2,13,162
36,ETZATLÁN,3,0,1,15,0,0,0,0,4,1,4,6,0,0,1,8,43
37,EL GRULLO,6,1,0,21,0,0,0,2,1,1,4,11,0,12,0,24,83
38,GUACHINANGO,0,0,0,1,0,0,0,0,0,1,1,4,1,0,0,1,9
39,GUADALAJARA,369,6,513,2212,14,104,493,1656,6865,7717,9526,1952,1452,858,101,2007,35845
40,HOSTOTIPAQUILLO,1,0,2,5,0,1,0,3,0,1,4,0,0,1,0,1,19
41,HUEJÚCAR,4,0,3,5,0,0,0,0,0,1,2,0,0,0,0,3,18
42,HUEJUQUILLA EL ALTO,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,2,7
