Clave Municipio,Nombre del Municipio,Población total,Porcentaje de población de 15 años o más analfabeta ,Porcentaje de población de 15 años o más sin primaria completa ,Porcentaje de ocupantes en viviendas sin drenaje ni  excusado,Porcentaje de ocupantes en viviendas sin energía eléctrica,Porcentaje de ocupantes en viviendas sin agua entubada,Porcentaje de viviendas con algún nivel de hacinamiento,Porcentaje de ocupantes en viviendas con piso de tierra,Porcentaje de población en localidades con menos de 5 000 habitantes,Porcentaje de población ocupada con ingresos de hasta 2 salarios mínimos,Índice de marginación,Grado de marginación,Lugar que ocupa en el contexto nacional,Lugar que ocupa en el contexto estatal
1,Acatic,21530,8.57,31.55,1.21,0.26,2.95,27.93,0.85,43.93,31.61,-0.824,Bajo, 1 910 ,61
2,Acatlán de Juárez,22261,3.22,15.94,0.24,0.33,1.51,25.55,1.07,24.17,26.34,-1.392,Muy bajo, 2 293 ,118
3,Ahualulco de Mercado,23362,3.32,16.24,0.45,0.16,0.54,24.94,0.95,28.56,33.41,-1.325,Muy bajo, 2 268 ,112
4,Amacueca,5385,4.21,20.47,0.24,0.54,0.72,27.51,4.24,100,40.39,-0.769,Bajo, 1 858 ,51
5,Amatitán,15344,3.6,17.05,0.26,0.18,0.71,34.29,1,24.86,39.28,-1.12,Muy bajo, 2 146 ,95
6,Ameca,60951,4.46,19.94,0.93,0.17,1.32,25.07,1.21,36.94,34,-1.176,Muy bajo, 2 184 ,102
7,San Juanito de Escobedo,9420,4.88,21.25,0.34,0.34,0.79,29.74,1.55,39.61,38.91,-1.017,Bajo, 2 059 ,83
8,Arandas,77116,7.35,25.34,0.58,0.44,2.52,21.85,0.65,28.34,34.01,-1.096,Muy bajo, 2 132 ,94
9,El Arenal,19900,4,17.59,0.29,0.11,1.13,27.86,0.62,33.83,29.31,-1.265,Muy bajo, 2 241 ,110
10,Atemajac de Brizuela,6717,8.72,28.76,1.28,1.34,1.16,39.72,5.66,18,38.08,-0.615,Bajo, 1 713 ,39
11,Atengo,5475,8.03,32.91,6.71,1.34,1.66,30.48,3.88,100,49.56,-0.22,Medio, 1 366 ,13
12,Atenguillo,3899,6.67,25.08,1.16,0.67,0.59,20.52,1.05,100,30.78,-0.88,Bajo, 1 964 ,71
13,Atotonilco el Alto,60480,6.36,24.76,0.45,0.15,0.67,21.59,1.28,44.27,25.61,-1.17,Muy bajo, 2 180 ,100
14,Atoyac,8264,8.66,30.24,1.64,0.59,1.27,29.6,8.05,38.95,47.96,-0.542,Bajo, 1 647 ,29
15,Autlán de Navarro,60572,3.98,17.21,0.69,0.56,1.88,23.72,3.37,21.15,30.77,-1.288,Muy bajo, 2 252 ,111
16,Ayotlán,37963,8.29,30.61,0.77,0.38,0.35,30.56,1.33,49.06,43.9,-0.688,Bajo, 1 785 ,46
17,Ayutla,12453,6.8,25.64,2.92,0.96,1.72,22.57,2.71,42.8,46.01,-0.838,Bajo, 1 925 ,64
18,La Barca,65055,5.18,23.06,0.09,0.05,0.44,25.09,1.12,45.2,37.23,-1.071,Bajo, 2 108 ,92
19,Bolaños,7341,17.16,37.86,47.77,29.66,34.86,53.85,31.91,100,26.21,2.702,Muy alto,23,2
20,Cabo Corrientes,10303,5.17,25.42,5.83,2.83,6.17,34.8,4.32,100,35.73,-0.378,Medio, 1 515 ,19
21,Casimiro Castillo,21584,6.9,26.52,2.31,0.41,3.75,27.19,2.27,47.94,36.12,-0.841,Bajo, 1 929 ,66
22,Cihuatlán,41300,6.14,24.21,0.42,0.36,5.11,35.87,2.87,34.05,34.25,-0.84,Bajo, 1 928 ,65
23,Zapotlán el Grande,105423,2.94,13.34,0.07,0.1,0.46,18.41,1.31,2.77,31.35,-1.604,Muy bajo, 2 382 ,122
24,Cocula,26687,5.39,22.22,0.63,0.15,0.33,26.43,1.97,44.42,38.44,-1.025,Bajo, 2 069 ,86
25,Colotlán,17865,4.08,20.99,1,0.4,0.62,21.84,0.81,26.73,42.45,-1.181,Muy bajo, 2 187 ,103
26,Concepción de Buenos Aires,6088,7.91,30,0.64,0.76,0.44,24.96,3.02,100,31.26,-0.666,Bajo, 1 769 ,44
27,Cuautitlán de García Barragán,18138,13.29,33.24,25.19,6.6,5.19,40.7,20.25,100,44.53,0.815,Alto,480,4
28,Cuautla,2120,6.68,30.64,5.56,1.98,4.7,17.9,2.32,100,33.24,-0.627,Bajo, 1 727 ,42
29,Cuquío,17980,9.96,31.24,2.76,0.67,8.68,25.7,2.81,100,46.19,-0.333,Medio, 1 479 ,17
30,Chapala,50738,3.62,16.69,0.22,0.21,0.78,24.27,1.52,19.42,33.78,-1.341,Muy bajo, 2 276 ,113
31,Chimaltitán,3383,12.15,38.86,18.24,14.9,14.34,42.74,4.43,100,50.15,0.968,Alto,408,3
