Clave,Municipio,Total,"Total
10 a 19 años",Menores de 15 años,11 años,12 años,13 años,14 años,15 a 19 años,15 años,16 años,17 años,18 años,19 años
1,Acatic,487,67,1,,,,1,66,1,4,20,17,24
2,Acatlán de Juárez,414,78,2,,,,2,76,6,15,13,19,23
3,Ahualulco de Mercado,379,61,,,,,,61,2,7,11,17,24
4,Amacueca,115,16,2,,,,2,14,2,1,1,8,2
5,Amatitán,357,53,1,,,,1,52,2,9,12,14,15
6,Ameca,1024,138,5,,,1,4,133,3,18,23,50,39
7,San Juanito de Escobedo,154,21,1,,,,1,20,1,2,1,7,9
8,Arandas,1596,157,2,,,,2,155,11,21,25,49,49
9,El Arenal,431,68,1,,,,1,67,1,9,16,17,24
10,Atemajac de Brizuela,167,34,,,,,,34,3,7,10,6,8
11,Atengo,111,12,,,,,,12,,,6,3,3
12,Atenguillo,47,4,,,,,,4,2,,1,,1
13,Atotonilco el Alto,1316,199,4,,,,4,195,14,15,33,62,71
14,Atoyac,122,20,,,,,,20,,4,4,8,4
15,Autlán de Navarro,1049,168,4,,,1,3,164,8,20,40,55,41
16,Ayotlán,828,124,4,,,,4,120,6,17,33,36,28
17,Ayutla,231,44,3,,,1,2,41,3,3,11,12,12
18,La Barca,1304,236,4,,,2,2,232,20,28,48,70,66
19,Bolaños,237,49,1,,,,1,48,4,2,12,20,10
20,Cabo Corrientes,198,37,1,,,,1,36,2,6,8,10,10
21,Casimiro Castillo,355,70,1,,,,1,69,8,7,11,17,26
22,Cihuatlán,779,151,5,,,,5,146,13,27,27,41,38
23,Zapotlán el Grande,1823,255,5,,,,5,250,8,32,48,68,94
24,Cocula,502,84,1,,,,1,83,5,11,22,18,27
25,Colotlán,376,45,,,,,,45,2,4,8,13,18
26,Concepción de Buenos Aires,101,20,,,,,,20,2,3,4,8,3
27,Cuautitlán de García Barragán,317,69,3,,,,3,66,3,9,19,16,19
28,Cuautla,42,4,,,,,,4,,,2,2,
29,Cuquío,337,33,,,,,,33,3,4,4,10,12
30,Chapala,1036,173,2,,,1,1,171,10,23,35,53,50
31,Chimaltitán,69,9,,,,,,9,1,1,2,2,3
32,Chiquilistlán,145,23,,,,,,23,,1,6,10,6
33,Degollado,402,56,,,,,,56,2,3,14,10,27
34,Ejutla,56,3,,,,,,3,,1,,2,
35,Encarnación de Díaz,1063,132,3,,,,3,129,5,12,25,36,51
36,Etzatlán,364,45,2,,,,2,43,1,5,14,9,14
37,El Grullo,452,58,2,,,,2,56,3,9,12,14,18
38,Guachinango,81,11,,,,,,11,,3,1,2,5
39,Guadalajara,23026,2749,38,,1,11,26,2711,124,316,476,810,985
40,Hostotipaquillo,177,22,1,,,,1,21,1,1,6,7,6
41,Huejúcar,83,8,,,,,,8,,,2,3,3
42,Huejuquilla el Alto,204,28,3,1,,,2,25,,4,8,6,7
43,La Huerta,359,73,4,,1,2,1,69,3,7,9,32,18
44,Ixtlahuacán de los Membrillos,976,242,5,,,1,4,237,25,29,66,51,66
45,Ixtlahuacán del Río,394,56,,,,,,56,1,7,10,19,19
46,Jalostotitlán,800,88,2,,,,2,86,3,10,16,30,27
47,Jamay,520,89,3,,1,,2,86,8,13,13,20,32
48,Jesús María,352,42,,,,,,42,1,7,9,11,14
49,Jilotlán de los Dolores,116,16,,,,,,16,1,2,3,3,7
50,Jocotepec,977,189,7,,,1,6,182,13,26,40,48,55
51,Juanacatlán,364,63,1,,,,1,62,3,8,9,18,24
52,Juchitlán,101,19,1,,,,1,18,2,4,3,4,5
53,Lagos de Moreno,3253,507,14,,,1,13,493,25,57,79,149,183
54,El Limón,95,8,,,,,,8,2,2,,3,1
55,Magdalena,478,77,1,,,,1,76,6,14,11,27,18
56,Santa María del Oro,16,3,,,,,,3,,,,1,2
57,La Manzanilla de la Paz,80,13,,,,,,13,,1,3,4,5
58,Mascota,220,27,,,,,,27,3,2,7,4,11
59,Mazamitla,259,30,,,,,,30,3,6,6,4,11
60,Mexticacán,129,7,,,,,,7,1,1,1,2,2
61,Mezquitic,818,191,6,1,,2,3,185,11,31,41,43,59
62,Mixtlán,52,1,,,,,,1,,,,,1
63,Ocotlán,1768,324,6,,,2,4,318,24,60,67,87,80
64,Ojuelos de Jalisco,662,111,2,,,,2,109,5,13,21,30,40
65,Pihuamo,188,17,1,,,,1,16,,2,7,3,4
66,Poncitlán,1333,286,7,,,1,6,279,21,48,56,66,88
67,Puerto Vallarta,4695,662,8,,,,8,654,32,75,119,190,238
68,Villa Purificación,216,29,,,,,,29,1,1,3,11,13
69,Quitupan,149,15,,,,,,15,2,4,1,2,6
70,El Salto,3624,805,15,,,2,13,790,57,120,155,217,241
71,San Cristóbal de la Barranca,85,9,,,,,,9,,1,2,3,3
72,San Diego de Alejandría,181,20,,,,,,20,2,2,2,9,5
73,San Juan de los Lagos,1565,236,7,,,,7,229,9,28,56,70,66
74,San Julián,354,32,2,,,,2,30,3,6,4,10,7
75,San Marcos,71,18,2,,,1,1,16,,1,3,7,5
76,San Martín de Bolaños,66,8,,,,,,8,,2,,3,3
77,San Martín Hidalgo,493,55,2,,,,2,53,,5,16,17,15
78,San Miguel el Alto,618,71,1,,,,1,70,3,14,10,23,20
79,Gómez Farías,289,50,,,,,,50,3,7,8,11,21
80,San Sebastián del Oeste,95,15,,,,,,15,,2,5,3,5
81,Santa María de los Ángeles,51,2,,,,,,2,,1,,,1
82,Sayula,659,122,3,,,1,2,119,8,15,28,28,40
83,Tala,1498,301,7,,,2,5,294,16,40,49,95,94
84,Talpa de Allende,260,48,,,,,,48,5,7,10,20,6
85,Tamazula de Gordiano,789,121,5,,,1,4,116,7,12,18,31,48
86,Tapalpa,520,98,,,,,,98,7,17,23,27,24
87,Tecalitlán,285,41,1,,,,1,40,,1,10,14,15
88,Tecolotlán,313,45,3,,,1,2,42,2,5,6,15,14
89,Techaluta de Montenegro,93,15,,,,,,15,,4,1,3,7
90,Tenamaxtlán,127,11,,,,,,11,,1,1,4,5
91,Teocaltiche,752,98,1,,,,1,97,4,6,19,24,44
92,Teocuitatlán de Corona,148,14,,,,,,14,1,4,1,6,2
93,Tepatitlán de Morelos,3186,363,4,,,,4,359,17,44,65,99,134
94,Tequila,869,127,1,,,,1,126,9,9,29,38,41
95,Teuchitlán,148,10,,,,,,10,,1,1,4,4
96,Tizapán el Alto,468,98,5,,,,5,93,5,11,18,19,40
97,Tlajomulco de Zúñiga,9937,1965,30,,1,5,24,1935,107,231,347,609,641
98,San Pedro Tlaquepaque,12093,2049,47,,1,5,41,2002,107,248,370,592,685
99,Tolimán,194,34,,,,,,34,1,5,7,8,13
100,Tomatlán,653,137,2,,,,2,135,8,24,29,39,35
101,Tonalá,8020,1445,17,,,2,15,1428,63,188,278,403,496
102,Tonaya,63,6,,,,,,6,1,,1,1,3
103,Tonila,119,24,,,,,,24,1,3,9,5,6
104,Totatiche,74,5,,,,,,5,,,,2,3
105,Tototlán,434,87,,,,,,87,7,7,23,22,28
106,Tuxcacuesco,103,19,1,,,,1,18,3,2,3,7,3
107,Tuxcueca,155,21,,,,,,21,3,3,1,9,5
108,Tuxpan,606,104,3,,,,3,101,7,15,17,28,34
109,Unión de San Antonio,360,51,,,,,,51,,9,6,18,18
110,Unión de Tula,248,34,,,,,,34,1,7,3,7,16
111,Valle de Guadalupe,177,21,,,,,,21,1,1,4,6,9
112,Valle de Juárez,119,19,1,,,,1,18,1,2,5,2,8
113,San Gabriel,309,48,,,,,,48,1,6,12,13,16
114,Villa Corona,324,55,1,,,,1,54,4,3,12,15,20
115,Villa Guerrero,123,14,1,,,,1,13,1,2,,4,6
116,Villa Hidalgo,394,36,1,,,,1,35,2,5,7,8,13
117,Cañadas de Obregón,100,9,,,,,,9,,1,1,2,5
118,Yahualica de González Gallo,440,47,,,,,,47,3,4,8,10,22
119,Zacoalco de Torres,575,90,2,,,,2,88,5,13,20,23,27
120,Zapopan,21112,2729,51,,1,9,41,2678,159,341,491,795,892
121,Zapotiltic,573,89,4,,,,4,85,6,11,16,27,25
122,Zapotitlán de Vadillo,141,36,2,,1,,1,34,1,12,4,11,6
123,Zapotlán del Rey,330,51,,,,,,51,3,5,15,10,18
124,Zapotlanejo,1458,217,7,,,1,6,210,10,21,40,61,78
125,San Ignacio Cerro Gordo,540,58,,,,,,58,4,10,7,13,24
