clave,nombre,poblacií_n_de_3_aí±os_y_míçs_que_habla_alguna_lengua_indí_gena,p_masculina_3_aí±os_y_míçs_habla_lengua_indí_gena,p_femenina_3_aí±os_míçs_habla_lengua_indí_gena,p_3_aí±os_y_míçs_habla_lengua_indí_gena_no_habla_espaí±ol,p_masculina_3_aí±os_míçs_habla_lengua_indí_gena_no_espaí±ol,p_femenina_3_aí±os_y_míçs_habla_lengua_indí_gena_no_espaí±ol,p_3_aí±os_y_míçs_habla_lengua_indí_gena_habla_espaí±ol,p_masculina_3_aí±os_y_míçs_habla_lengua_indí_gena_habla_espaí±o,p_femenina_3_aí±os_y_míçs_habla_lengua_indí_gena_habla_espaí±ol,poblacií_n_5_aí±os_y_míçs_habla_lengua_indí_gena,p_5_aí±os_míçs_habla_lengua_indí_gena_no_habla_espaí±ol,p_5_aí±os_y_míçs_habla_lengua_indí_gena_habla_espaí±ol,poblacií_n_en_hogares_censales_indí_genas,poblacií_n_de_5_aí±os_y_míçs_que_habla_lengua_indí_gena,p_5_aí±os_y_míçs_habla_lengua_indí_gena_y_espaí±ol,p_5_aí±os_y_míçs_habla_lengua_indí_gena_y_habla_espaí±ol
14,Jalisco,53695,27388,26307,5412,1991,3421,37447,19743,17704,51702,4353,36899,87638,39259,3171,34550
1,Acatic,36,24,12,0,0,0,14,12,2,35,0,14,59,65,0,57
2,Acatlíçn de Juíçrez,504,491,13,0,0,0,484,476,8,503,0,484,71,62,0,54
3,Ahualulco de Mercado,17,11,6,0,0,0,7,5,2,17,0,7,65,86,0,80
4,Amacueca,4,2,2,0,0,0,4,2,2,4,0,4,15,10,0,6
5,Amatitíçn,21,9,12,0,0,0,10,7,3,20,0,10,41,50,0,46
6,Ameca,155,98,57,1,1,0,91,59,32,152,1,90,349,175,0,163
7,San Juanito de Escobedo,26,14,12,0,0,0,11,7,4,25,0,11,39,16,0,12
8,Arandas,248,164,84,2,2,0,121,84,37,240,1,118,506,215,0,185
9,El Arenal,25,13,12,0,0,0,12,7,5,25,0,12,58,30,0,28
10,Atemajac de Brizuela,9,6,3,0,0,0,4,3,1,9,0,4,19,17,0,15
11,Atengo,4,3,1,0,0,0,1,0,1,4,0,1,5,17,0,15
12,Atenguillo,13,9,4,0,0,0,5,4,1,13,0,5,41,12,0,10
13,Atotonilco el Alto,124,65,59,1,0,1,53,31,22,122,1,53,285,85,0,79
14,Atoyac,43,30,13,5,1,4,33,25,8,43,5,33,23,64,3,58
15,Autlíçn de Navarro,592,303,289,5,1,4,463,247,216,575,4,451,932,320,3,295
16,Ayotlíçn,61,32,29,0,0,0,22,13,9,59,0,22,169,124,0,104
17,Ayutla,16,8,8,0,0,0,5,3,2,14,0,5,49,35,0,34
18,La Barca,112,60,52,0,0,0,49,30,19,107,0,49,244,190,0,171
19,Bolaí±os,4040,1971,2069,665,273,392,3319,1673,1646,3777,471,3256,4485,2125,297,1791
20,Cabo Corrientes,22,12,10,0,0,0,10,7,3,21,0,10,50,47,0,44
21,Casimiro Castillo,34,21,13,0,0,0,15,10,5,34,0,15,66,84,0,76
