Num.,Indicador,DescripciÑn,MnemÑnico,Rangos,Longitud
1,Clave de entidad federativa,CÑdigo que identifica a la entidad federativa. El cÑdigo 00 identifica a los registros con los totales a nivel nacional.,ENTIDAD,00ƒ32,2
2,Entidad federativa,Nombre oficial de la entidad federativa.,NOM_ENT ,Alfanum_rico,50
3,Clave de municipio o demarcaciÑn territorial,"CÑdigo que identifica al municipio o demarcaciÑn territorial al interior de una entidad federativa, conforme al Marco GeoestadÕstico. El cÑdigo 000 identifica a los registros con los totales a nivel de entidad federativa.",MUN,000ƒ570,3
4,Municipio o demarcaciÑn territorial,Nombre oficial del municipio o demarcaciÑn territorial en el caso de la Ciudad de M_xico.,NOM_MUN   ,Alfanum_rico,50
5,Clave de localidad,CÑdigo que identifica a la localidad al interior de cada municipio o demarcaciÑn territorial conforme al Marco GeoestadÕstico. El cÑdigo 0000 identifica a los registros con los totales a nivel de municipio o demarcaciÑn territorial.,LOC,0000ƒ9999,4
6,Localidad,Nombre con el que se reconoce a la localidad dado por la ley o la costumbre.,NOM_LOC ,Alfanum_rico,70
7,Longitud,"UbicaciÑn de la localidad expresada en grados, minutos, segundos y mil_simas de segundo. Las primeras tres o cuatro posiciones corresponden a los grados y su sÕmbolo; las siguientes tres posiciones indican los minutos y su sÕmbolo y las siguientes 8 posiciones corresponden a los segundos, sus mil_simas separados por un punto y su sÕmbolo, la Ïltima posiciÑn indica que es la longitud situada al Oeste del meridiano de Greenwich (W).",LONGITUD ,Caracter,16
8,Latitud,"UbicaciÑn de la localidad expresada en grados, minutos, segundos y mil_simas de segundo. Las primeras tres posiciones corresponden a los grados y su sÕmbolo; las siguientes tres posiciones indican los minutos y su sÕmbolo y las siguientes 8 posiciones corresponden a los segundos, sus mil_simas separados por un punto y su sÕmbolo, la Ïltima posiciÑn indica que es la latitud situada al norte del ecuador (N).",LATITUD,Caracter,15
9,Altitud,"Altura a la que se encuentra una localidad, respecto al nivel medio del mar, expresada en metros.",ALTITUD,Caracter,4
1,PoblaciÑn total,"Total de personas que residen habitualmente en el paÕs, la entidad federativa, el municipio o la demarcaciÑn territorial y la localidad. Incluye la estimaciÑn del nÏmero de personas en viviendas particulares sin informaciÑn de ocupantes. Incluye a la poblaciÑn que no especificÑ su edad.",POBTOT,0...999999999,9
2,PoblaciÑn femenina,"Total de mujeres que residen habitualmente en el paÕs, la entidad federativa, el municipio o la demarcaciÑn territorial y la localidad. Incluye la estimaciÑn del nÏmero de mujeres en viviendas particulares sin informaciÑn de ocupantes. Incluye a la poblaciÑn que no especificÑ su edad.",POBFEM,0...999999999,9
3,PoblaciÑn masculina,"Total de hombres que residen habitualmente en el paÕs, la entidad federativa, el municipio o la demarcaciÑn territorial y la localidad. Incluye la estimaciÑn del nÏmero de hombres en viviendas particulares sin informaciÑn de ocupantes. Incluye a la poblaciÑn que no especificÑ su edad.",POBMAS,0...999999999,9
4,PoblaciÑn de 0 a 2 aÐos,Personas de 0 a 2 aÐos de edad.,P_0A2,0ƒ999999999,9
5,PoblaciÑn femenina de 0 a 2 aÐos,Mujeres de 0 a 2 aÐos de edad.,P_0A2_F,"0.,.999999999",9
6,PoblaciÑn masculina de 0 a 2 aÐos,Hombres de 0 a 2 aÐos de edad.,P_0A2_M,0...999999999,9
7,PoblaciÑn de 3 aÐos y màs,Personas de 3 a 130 aÐos de edad.,P_3YMAS,0...999999999,9
8,PoblaciÑn femenina de 3 aÐos y màs,Mujeres de 3 a 130 aÐos de edad.,P_3YMAS_F,0...999999999,9
9,PoblaciÑn masculina de 3 aÐos y màs,Hombres de 3 a 130 aÐos de edad.,P_3YMAS_M,0...999999999,9
10,PoblaciÑn de 5 aÐos y màs,Personas de 5 a 130 aÐos de edad.,P_5YMAS,0...999999999,9
11,PoblaciÑn femenina de 5 aÐos y màs,Mujeres de 5 a 130 aÐos de edad.,P_5YMAS_F,0...999999999,9
12,PoblaciÑn masculina de 5 aÐos y màs,Hombres de 5 a 130 aÐos de edad.,P_5YMAS_M,0...999999999,9
13,PoblaciÑn de 12 aÐos y màs,Personas de 12 a 130 aÐos de edad.,P_12YMAS,0...999999999,9
14,PoblaciÑn femenina de 12 aÐos y màs,Mujeres de 12 a 130 aÐos de edad.,P_12YMAS_F,0...999999999,9
15,PoblaciÑn masculina de 12 aÐos y màs,Hombres de 12 a 130 aÐos de edad.,P_12YMAS_M,0...999999999,9
16,PoblaciÑn de 15 aÐos y màs,Personas de 15 a 130 aÐos de edad.,P_15YMAS,0...999999999,9
17,PoblaciÑn femenina de 15 aÐos y màs,Mujeres de 15 a 130 aÐos de edad.,P_15YMAS_F,0...999999999,9
18,PoblaciÑn masculina de 15 aÐos y màs,Hombres de 15 a 130 aÐos de edad.,P_15YMAS_M,0...999999999,9
19,PoblaciÑn de 18 aÐos y màs,Personas de 18 a 130 aÐos de edad.,P_18YMAS,0...999999999,9
20,PoblaciÑn femenina de 18 aÐos y màs,Mujeres de 18 a 130 aÐos de edad.,P_18YMAS_F,0...999999999,9
21,PoblaciÑn masculina de 18 aÐos y màs,Hombres de 18 a 130 aÐos de edad.,P_18YMAS_M,0...999999999,9
22,PoblaciÑn de 3 a 5 aÐos,Personas de 3 a 5 aÐos de edad.,P_3A5,0...999999999,9
23,PoblaciÑn femenina de 3 a 5 aÐos,Mujeres de 3 a 5 aÐos de edad.,P_3A5_F,0...999999999,9
24,PoblaciÑn masculina de 3 a 5 aÐos,Hombres de 3 a 5 aÐos de edad.,P_3A5_M,0...999999999,9
25,PoblaciÑn de 6 a 11 aÐos,Personas de 6 a 11 aÐos de edad.,P_6A11,0...999999999,9
26,PoblaciÑn femenina de 6 a 11 aÐos,Mujeres de 6 a 11 aÐos de edad.,P_6A11_F,0...999999999,9
27,PoblaciÑn masculina de 6 a 11 aÐos,Hombres de 6 a 11 aÐos de edad.,P_6A11_M,0...999999999,9
28,PoblaciÑn de 8 a 14 aÐos,Personas de 8 a 14 aÐos de edad.,P_8A14,0...999999999,9
29,PoblaciÑn femenina de 8 a 14 aÐos,Mujeres de 8 a 14 aÐos de edad.,P_8A14_F,0...999999999,9
30,PoblaciÑn masculina de 8 a 14 aÐos,Hombres de 8 a 14 aÐos de edad.,P_8A14_M,0...999999999,9
31,PoblaciÑn de 12 a 14 aÐos,Personas de 12 a 14 aÐos de edad.,P_12A14,0...999999999,9
32,PoblaciÑn femenina de 12 a 14 aÐos,Mujeres de 12 a 14 aÐos de edad.,P_12A14_F,0...999999999,9
33,PoblaciÑn masculina de 12 a 14 aÐos,Hombres de 12 a 14 aÐos de edad.,P_12A14_M,0...999999999,9
34,PoblaciÑn de 15 a 17 aÐos,Personas de 15 a 17 aÐos de edad.,P_15A17,0...999999999,9
35,PoblaciÑn femenina de 15 a 17 aÐos,Mujeres de 15 a 17 aÐos de edad.,P_15A17_F,0...999999999,9
36,PoblaciÑn masculina de 15 a 17 aÐos,Hombres de 15 a 17 aÐos de edad.,P_15A17_M,0...999999999,9
37,PoblaciÑn de 18 a 24 aÐos,Personas de 18 a 24 aÐos de edad.,P_18A24,0...999999999,9
38,PoblaciÑn femenina de 18 a 24 aÐos,Mujeres de 18 a 24 aÐos de edad.,P_18A24_F,0...999999999,9
39,PoblaciÑn masculina de 18 a 24 aÐos,Hombres de 18 a 24 aÐos de edad.,P_18A24_M,0...999999999,9
40,PoblaciÑn femenina de 15 a 49 aÐosæ,Mujeres de 15 a 49 aÐos de edad.,P_15A49_F,0...999999999,9
41,PoblaciÑn de 60 aÐos y màs,Personas de 60 a 130 aÐos de edad.,P_60YMAS,0...999999999,9
42,PoblaciÑn femenina de 60 aÐos y màs,Mujeres de 60 a 130 aÐos de edad.,P_60YMAS_F,0...999999999,9
43,PoblaciÑn masculina de 60 aÐos y màs,Hombres de 60 a 130 aÐos de edad.,P_60YMAS_M,0...999999999,9
44,RelaciÑn hombres-mujeres,Resultado de dividir el total de hombres entre el total de mujeres y multiplicarlo por cien. Indica el nÏmero de hombres por cada 100 mujeres.,REL_H_M,0...999999999,9
45,PoblaciÑn de 0 a 14 aÐos,Personas de 0 a 14 aÐos de edad.,POB0_14,0...999999999,9
46,PoblaciÑn de 15 a 64 aÐos,Personas de 15 a 64 aÐos de edad.,POB15_64,0...999999999,9
47,PoblaciÑn de 65 aÐos y màs,Personas de 65 a 130 aÐos de edad.,POB65_MAS,0...999999999,9
48,Promedio de hijas e hijos nacidos vivos,"Resultado de dividir el total de hijas e hijos nacidos vivos de las mujeres de 12 a 130 aÐos de edad, entre el total de mujeres del mismo grupo de edad. Excluye a las mujeres que no especificaron el nÏmero de hijas e hijos nacidos vivos y a las que sÕ han tenido, pero no especificaron el total de ellos.",PROM_HNV,0...999999999,9
49,PoblaciÑn nacida en la entidad,Personas nacidas en la misma entidad federativa.,PNACENT,0ƒ999999999,9
50,PoblaciÑn femenina nacida en la entidad,Mujeres nacidas en la misma entidad federativa.,PNACENT_F,0ƒ999999999,9
51,PoblaciÑn masculina nacida en la entidad,Hombres nacidos en la misma entidad federativa.,PNACENT_M,0ƒ999999999,9
52,PoblaciÑn nacida en otra entidad,Personas nacidas en otra entidad federativa.,PNACOE,0ƒ999999999,9
53,PoblaciÑn femenina nacida en otra entidad,Mujeres nacidas en otra entidad federativa.,PNACOE_F,0ƒ999999999,9
54,PoblaciÑn masculina nacida en otra entidad,Hombres nacidos en otra entidad federativa.,PNACOE_M,0ƒ999999999,9
55,PoblaciÑn de 5 aÐos y màs residente en la entidad en marzo de 2015,Personas de 5 a 130 aÐos de edad que entre 2015 y 2020 residÕan en la misma entidad federativa.,PRES2015,0ƒ999999999,9
56,PoblaciÑn femenina de 5 aÐos y màs residente en la entidad en marzo de 2015,Mujeres de 5 a 130 aÐos de edad que entre 2015 y 2020 residÕan en la misma entidad federativa.,PRES2015_F,0ƒ999999999,9
57,PoblaciÑn masculina de 5 aÐos y màs residente en la entidad en marzo de 2015,Hombres de 5 a 130 aÐos de edad que entre 2015 y 2020 residÕan en la misma entidad federativa.,PRES2015_M,0ƒ999999999,9
58,PoblaciÑn de 5 aÐos y màs residente en otra entidad en marzo de 2015,Personas de 5 a 130 aÐos de edad que en el 2015 residÕan en otra entidad federativa.,PRESOE15,0ƒ999999999,9
59,PoblaciÑn femenina de 5 aÐos y màs residente en otra entidad en marzo de 2015,Mujeres de 5 a 130 aÐos de edad que en 2015 residÕan en otra entidad federativa.,PRESOE15_F,0ƒ999999999,9
60,PoblaciÑn masculina de 5 aÐos y màs residente en otra entidad en marzo de 2015,Hombres de 5 a 130 aÐos de edad que en 2015 residÕan en otra entidad federativa.,PRESOE15_M,0ƒ999999999,9
61,PoblaciÑn de 3 aÐos y màs que habla alguna lengua indÕgena,Personas de 3 a 130 aÐos de edad que hablan alguna lengua indÕgena.,P3YM_HLI,0...999999999,9
62,PoblaciÑn femenina de 3 aÐos y màs que habla alguna lengua indÕgena,Mujeres de 3 a 130 aÐos de edad que hablan alguna lengua indÕgena.,P3YM_HLI_F,0...999999999,9
63,PoblaciÑn masculina de 3 aÐos y màs que habla alguna lengua indÕgena,Hombres de 3 a 130 aÐos de edad que hablan alguna lengua indÕgena.,P3YM_HLI_M,0...999999999,9
64,PoblaciÑn de 3 aÐos y màs que habla alguna lengua indÕgena y no habla espaÐol,Personas de 3 a 130 aÐos de edad que hablan alguna lengua indÕgena y ademàs no hablan espaÐol.,P3HLINHE,0...999999999,9
65,PoblaciÑn femenina de 3 aÐos y màs que habla alguna lengua indÕgena y no habla espaÐol,Mujeres de 3 a 130 aÐos de edad que hablan alguna lengua indÕgena y ademàs no hablan espaÐol.,P3HLINHE_F,0...999999999,9
66,PoblaciÑn masculina de 3 aÐos y màs que habla alguna lengua indÕgena y no habla espaÐol,Hombres de 3 a 130 aÐos de edad que hablan alguna lengua indÕgena y ademàs no hablan espaÐol.,IP3HLINHE_M,0...999999999,9
67,PoblaciÑn de 3 aÐos y màs que habla alguna lengua indÕgena y habla espaÐol,Personas de 3 a 130 aÐos de edad que hablan alguna lengua indÕgena y ademàs hablan espaÐol.,P3HLI_HE,0...999999999,9
68,PoblaciÑn femenina de 3 aÐos y màs que habla alguna lengua indÕgena y habla espaÐol,Mujeres de 3 a 130 aÐos de edad que hablan alguna lengua indÕgena y ademàs hablan espaÐol.,P3HLI_HE_F,0...999999999,9
69,PoblaciÑn masculina de 3 aÐos y màs que habla alguna lengua indÕgena y habla espaÐol,Hombres de 3 a 130 aÐos de edad que hablan alguna lengua indÕgena y ademàs hablan espaÐol.,P3HLI_HE_M,0...999999999,9
70,PoblaciÑn de 5 aÐos y màs que habla alguna lengua indÕgena,Personas de 5 a 130 aÐos de edad que hablan alguna lengua indÕgena.,P5_HLI,0...999999999,9
71,PoblaciÑn de 5 aÐos y màs que habla alguna lengua indÕgena y no habla espaÐol,Personas de 5 a 130 aÐos de edad que hablan alguna lengua indÕgena y ademàs no hablan espaÐol.,P5_HLI_NHE,0...999999999,9
72,PoblaciÑn de 5 aÐos y màs que habla alguna lengua indÕgena y habla espaÐol,Personas de 5 a 130 aÐos de edad que hablan alguna lengua indÕgena y ademàs hablan espaÐol.,P5_HLI_HE,0...999999999,9
73,PoblaciÑn en hogares censales indÕgenas,"Total de personas que forman hogares censales donde la persona de referencia del hogar o su cÑnyuge o alguno de los ascendientes de estos, declararon hablar lengua indÕgena.",PHOG_IND,0...999999999,9
74,PoblaciÑn que se considera afromexicana o afrodescendiente,Personas que se consideran afromexicanos o afrodescendientes.,POB_AFRO,0...999999999,9
75,PoblaciÑn femenina que se considera afromexicana o afrodescendiente,Mujeres que se consideran afromexicanas o afrodescendientes.,POB_AFRO_F,0...999999999,9
76,PoblaciÑn masculina que se considera afromexicana o afrodescendiente,Hombres que se consideran afromexicanos o afrodescendientes.,POB_AFRO_M,0...999999999,9
77,PoblaciÑn con discapacidad,"Personas que realizan con mucha dificultad o no pueden hacer al menos una de las siguientes actividades: ver, aun usando lentes; oÕr, aun usando aparato auditivo; caminar, subir o bajar; recordar o concentrarse; baÐarse, vestirse o comer; hablar o comunicarse.",PCON_DISC,0...999999999,9
78,"PoblaciÑn con discapacidad para caminar, subir o bajar","Personas que tiene mucha dificultad o no pueden caminar, subir o bajar.",PCDISC_MOT,0...999999999,9
79,"PoblaciÑn con discapacidad para ver, aun usando lentes","Personas que tienen mucha dificultad o no pueden ver, aun cuando usen lentes.",PCDISC_VIS,0...999999999,9
80,PoblaciÑn con discapacidad para hablar o comunicarse,Personas que tienen mucha dificultad o no pueden hablar o comunicarse.,PCDISC_LENG,0...999999999,9
81,"PoblaciÑn con discapacidad para oÕr, aun usando aparato auditivo","Personas que tienen mucha dificultad o no pueden oÕr, aun usando aparato auditivo.",PCDISC_AUD,0...999999999,9
82,"PoblaciÑn con discapacidad para vestirse, baÐarse o comer","Personas que tienen mucha dificultad o no pueden baÐarse, vestirse o comer.",PCDISC_MOT2,0...999999999,9
83,PoblaciÑn con discapacidad para recordar o concentrarse,Personas que tienen mucha dificultad o no pueden recordar o concentrarse.,PCDISC_MEN,0...999999999,9
84,PoblaciÑn con limitaciÑn,"Personas que realizan con poca dificultad al menos una de las siguientes actividades: ver, aun usando lentes; oÕr, aun usando aparato auditivo; caminar, subir o bajar; recordar o concentrarse; baÐarse, vestirse o comer; hablar o comunicarse.",PCON_LIMI,0...999999999,9
85,"PoblaciÑn con limitaciÑn para caminar, subir o bajar","Personas que tienen poca dificultad para caminar, subir o bajar.",PCLIM_CSB,0...999999999,9
86,"PoblaciÑn con limitaciÑn para ver, aun usando lentes","Personas que tienen poca dificultad para ver, aun usando lentes.",PCLIM_VIS,0...999999999,9
87,PoblaciÑn con limitaciÑn para hablar o comunicarse,Personas que tienen poca dificultad para hablar o comunicarse.,PCLIM_HACO,0...999999999,9
88,"PoblaciÑn con limitaciÑn para oÕr, aun usando aparato auditivo","Personas que tienen poca dificultad para oÕr, aun usando aparato auditivo.",PCLIM_OAUD,0...999999999,9
89,"PoblaciÑn con limitaciÑn para vestirse, baÐarse o comer","Personas que tienen poca dificultad para baÐarse, vestirse o comer.",PCLIM_MOT2,0...999999999,9
90,PoblaciÑn con limitaciÑn para recordar o concentrarse,Personas que tienen poca dificultad para recordar o concentrarse.,PCLIM_RE_CO,0...999999999,9
91,PoblaciÑn con algÏn problema o condiciÑn mental,"Personas con algÏn problema o condiciÑn mental, como las relacionadas con el trastorno de la conciencia, retraso mental y las alteraciones de la conducta del individuo con otras personas en su entorno social. Incluye a la poblaciÑn que declarÑ realizar actividades cotidianas con mucha dificultad o no poder hacerlas o las hace con poca dificultad.",PCLIM_PMEN,0...999999999,9
92,"PoblaciÑn sin discapacidad, limitaciÑn, problema o condiciÑn mental","Personas que no tienen dificultad para realizar alguna actividad cotidiana como: ver, aun usando lentes; oÕr aun usando aparato auditivo; caminar, subir o bajar; recordar o concentrarse; baÐarse, vestirse o comer; hablar o comunicarse, ni tampoco tiene algÏn problema o condiciÑn mental.",PSIND_LIM,0...999999999,9
93,PoblaciÑn de 3 a 5 aÐos que no asiste a la escuela,Personas de 3 a 5 aÐos de edad que no van a la escuela.,P3A5_NOA,0...999999999,9
94,PoblaciÑn femenina de 3 a 5 aÐos que no asiste a la escuela,Mujeres de 3 a 5 aÐos de edad que no van a la escuela.,P3A5_NOA_F,0...999999999,9
95,PoblaciÑn masculina de 3 a 5 aÐos que no asiste a la escuela,Hombres de 3 a 5 aÐos de edad que no van a la escuela.,P3A5_NOA_M,0...999999999,9
96,PoblaciÑn de 6 a 11 aÐos que no asiste a la escuela,Personas de 6 a 11 aÐos de edad que no van a la escuela.,P6A11_NOA,0...999999999,9
97,PoblaciÑn femenina de 6 a 11 aÐos que no asiste a la escuela,Mujeres de 6 a 11 aÐos de edad que no van a la escuela.,P6A11_NOAF,0...999999999,9
98,PoblaciÑn masculina de 6 a 11 aÐos que no asiste a la escuela,Hombres de 6 a 11 aÐos de edad que no van a la escuela.,P6A11_NOAM,0...999999999,9
99,PoblaciÑn de 12 a 14 aÐos que no asiste a la escuela,Personas de 12 a 14 aÐos de edad que no van a la escuela.,P12A14NOA,0...999999999,9
100,PoblaciÑn femenina de 12 a 14 aÐos que no asiste a la escuela,Mujeres de 12 a 14 aÐos de edad que no van a la escuela.,P12A14NOAF,0...999999999,9
101,PoblaciÑn masculina de 12 a 14 aÐos que no asiste a la escuela,Hombres de 12 a 14 aÐos de edad que no van a la escuela.,P12A14NOAM,0...999999999,9
102,PoblaciÑn de 15 a 17 aÐos que asiste a la escuela,Personas de 15 a 17 aÐos de edad que van a la escuela.,P15A17A,0...999999999,9
103,PoblaciÑn femenina de 15 a 17 aÐos que asiste a la escuela,Mujeres de 15 a 17 aÐos de edad que van a la escuela.,P15A17A_F,0...999999999,9
104,PoblaciÑn masculina de 15 a 17 aÐos que asiste a la escuela,Hombres de 15 a 17 aÐos de edad que van a la escuela.,P15A17A_M,0...999999999,9
105,PoblaciÑn de 18 a 24 aÐos que asiste a la escuela,Personas de 18 a 24 aÐos de edad que van a la escuela.,P18A24A,0...999999999,9
106,PoblaciÑn femenina de 18 a 24 aÐos que asiste a la escuela,Mujeres de 18 a 24 aÐos de edad que van a la escuela.,P18A24A_F,0...999999999,9
107,PoblaciÑn masculina de 18 a 24 aÐos que asiste a la escuela,Hombres de 18 a 24 aÐos de edad que van a la escuela.,P18A24A_M,0...999999999,9
108,PoblaciÑn de 8 a 14 aÐos que no sabe leer y escribir,Personas de 8 a 14 aÐos de edad que no saben leer y escribir un recado.,P8A14AN,0...999999999,9
109,PoblaciÑn femenina de 8 a 14 aÐos que no sabe leer y escribir,Mujeres de 8 a 14 aÐos de edad que no saben leer y escribir un recado.,P8A14AN_F,0...999999999,9
110,PoblaciÑn masculina de 8 a 14 aÐos que no sabe leer y escribir,Hombres de 8 a 14 aÐos de edad que no saben leer y escribir un recado.,P8A14AN_M,0...999999999,9
111,PoblaciÑn de 15 aÐos y màs analfabeta,Personas de 15 a 130 aÐos de edad que no saben leer y escribir un recado.,P15YM_AN,0...999999999,9
112,PoblaciÑn femenina de 15 aÐos y màs analfabeta,Mujeres de 15 a 130 aÐos de edad que no saben leer y escribir un recado.,P15YM_AN_F,0...999999999,9
113,PoblaciÑn masculina de 15 aÐos y màs analfabeta,Hombres de 15 a 130 aÐos de edad que no saben leer y escribir un recado.,P15YM_AN_M,0...999999999,9
114,PoblaciÑn de 15 aÐos y màs sin escolaridad,Personas de 15 a 130 aÐos de edad que no aprobaron ningÏn grado escolar o que sÑlo tienen nivel preescolar.,P15YM_SE,0...999999999,9
