CLAVE CT,NOM TURNO,NOMBRE CT,MUNICIPIO CLAVE INEGI,NOMBRE MUNICIPIO,ZONA ESCOLAR,SOSTENIM.,NOM SOST.,NIVEL,PROGRAMA,DESERCIÓN INTRACURRICULAR,REPROBACIÓN,REPROBACIÓN  CON REGULARIZADOS,EFICIENCIA TERMINAL,SOSTENIMIENTO
14DAR0002W,MATUTINO,CENTRO DE EDUCACION ARTISTICA JOSE CLEMENTE OROZCO,39,GUADALAJARA,0,16,FEDERAL,BACHILLERATO,GENERAL,8.93%,2.94%,2.94%,73.17%,FEDERAL
14DAR0003V,VESPERTINO,CENTRO DE EDUCACION ARTISTICA JOSE CLEMENTE OROZCO,39,GUADALAJARA,0,16,FEDERAL,PROFESIONAL TECNICO,PROFESIONAL MEDIO,4.17%,13.04%,6.83%,50%,FEDERAL
14DBP0009Q,MATUTINO,CENTRO DE ESTUDIOS DE BACHILLERATO 5/5 GORDIANO GUZMAN,23,ZAPOTLAN EL GRANDE,0,11,FEDERAL,BACHILLERATO,GENERAL,17.14%,44.51%,35.11%,0%,FEDERAL
14DBP0009Q,VESPERTINO,CENTRO DE ESTUDIOS DE BACHILLERATO 5/5 GORDIANO GUZMAN,23,ZAPOTLAN EL GRANDE,0,11,FEDERAL,BACHILLERATO,GENERAL,12.36%,60.26%,47.44%,0%,FEDERAL
14DBP0010F,MATUTINO,CENTRO DE ESTUDIOS DE BACHILLERATO 6/8 IGNACIO MANUEL ALTAMIRANO,96,TIZAPAN EL ALTO,0,11,FEDERAL,BACHILLERATO,GENERAL,8.04%,22.65%,21.08%,68.72%,FEDERAL
14DCC0001T,MATUTINO,TUKIPA,61,MEZQUITIC,2,24,FEDERALIZADO,PREESCOLAR,INDIGENA,,,,,FEDERALIZADO
14DCC0002S,MATUTINO,TAU,61,MEZQUITIC,5,24,FEDERALIZADO,PREESCOLAR,INDIGENA,,,,,FEDERALIZADO
14DCC0004Q,MATUTINO,PARIYATSIE,61,MEZQUITIC,5,24,FEDERALIZADO,PREESCOLAR,INDIGENA,,,,,FEDERALIZADO
14DCC0005P,MATUTINO,RAPABILIEMETA,61,MEZQUITIC,5,24,FEDERALIZADO,PREESCOLAR,INDIGENA,,,,,FEDERALIZADO
14DCC0006O,MATUTINO,PLAN DE AYUTLA,61,MEZQUITIC,2,24,FEDERALIZADO,PREESCOLAR,INDIGENA,,,,,FEDERALIZADO
14DCC0007N,MATUTINO,AYUKARITA,61,MEZQUITIC,2,24,FEDERALIZADO,PREESCOLAR,INDIGENA,,,,,FEDERALIZADO
14DCC0008M,MATUTINO,NICOLAS BRAVO,61,MEZQUITIC,3,24,FEDERALIZADO,PREESCOLAR,INDIGENA,,,,,FEDERALIZADO
14DCC0009L,MATUTINO,AMADO NERVO,61,MEZQUITIC,3,24,FEDERALIZADO,PREESCOLAR,INDIGENA,,,,,FEDERALIZADO
14DCC0010A,MATUTINO,MANUEL CERVANTES IMAZ,61,MEZQUITIC,6,24,FEDERALIZADO,PREESCOLAR,INDIGENA,,,,,FEDERALIZADO
14DCC0011Z,MATUTINO,MARIA MONTESSORI,61,MEZQUITIC,6,24,FEDERALIZADO,PREESCOLAR,INDIGENA,,,,,FEDERALIZADO
14DCC0013Y,MATUTINO,NUNUTSI KITA,19,BOLA†OS,1,24,FEDERALIZADO,PREESCOLAR,INDIGENA,,,,,FEDERALIZADO
14DCC0014X,MATUTINO,CENTRO DE CASTELLA†IZACION,19,BOLA†OS,4,24,FEDERALIZADO,PREESCOLAR,INDIGENA,,,,,FEDERALIZADO
14DCC0015W,MATUTINO,TUI MAYEWE,61,MEZQUITIC,4,24,FEDERALIZADO,PREESCOLAR,INDIGENA,,,,,FEDERALIZADO
