NOM TURNO,LA PRUEBA ES REPRESENTATIVA LEGUAJE Y COMUNICACIÓN,MUNICIPIO CLAVE INEGI,LA PRUEBA ES REPRESENTATIVA  MATEMÁTICAS,ZONA ESCOLAR,PROGRAMA,SOSTENIMIENTO,NIVEL PREDOMINANTE LENGUAJE Y COMUNICACIÓN ,NIVEL PREDOMINANTE MATEMATICAS,ABUSO SEXUAL INFANTIL,VIOLENCIA INTRAFAMILIAR,Total general,Población total,Porcentaje de población de 15 años o más analfabeta ,Porcentaje de población de 15 años o más sin primaria completa ,Grado de marginación,Índice de marginación,Menores de 15 años,POBTOT,POB_AFRO,P5_HLI_NHE,P3YM_HLI,PCON_DISC,GRAPROES,PCLIM_PMEN,CLAVE CT,NOMBRE MUNICIPIO,DESERCIÓN INTRACURRICULAR,REPROBACIÓN,REPROBACIÓN  CON REGULARIZADOS,EFICIENCIA TERMINAL
MATUTINO,SI,6,SI,6,GENERAL,FEDERALIZADO,II ,I,11,125,450,60951,4.46,19.94,Muy bajo,-1.176,5,60386,485,0,153,3438,9.06,884,14DES0001S,AMECA,3.2,0.14,0,88.43
MATUTINO,SI,106,SI,7,GENERAL,FEDERALIZADO,II ,I,2,3,9,4229,12.16,34.05,Medio,-0.036,1,5482,15,15,300,410,7.12,53,14DES0002R,TUXCACUESCO,8.08,0,0,76.92
MATUTINO,SI,118,SI,15,GENERAL,FEDERALIZADO,II ,II,4,14,77,22586,7.1,28.88,Bajo,-0.879,,22394,199,0,15,1407,7.82,378,14DES0003Q,YAHUALICA DE GONZALEZ GALLO,5.5,2.8,1.94,81.77
MATUTINO,SI,108,SI,8,GENERAL,FEDERALIZADO,II ,I,4,17,100,34535,5.2,18.27,Bajo,-1.06,3,37518,717,3,491,1476,9.08,375,14DES0004P,TUXPAN,2.63,3.02,2.38,84.77
MATUTINO,SI,23,SI,8,GENERAL,FEDERALIZADO,II ,I,26,92,704,105423,2.94,13.34,Muy bajo,-1.604,5,115141,1252,7,862,5086,10.55,1537,14DES0005O,ZAPOTLAN EL GRANDE,0.77,9.59,1.55,96.24
MATUTINO,SI,15,SI,7,GENERAL,FEDERALIZADO,II ,I,26,160,557,60572,3.98,17.21,Muy bajo,-1.288,4,64931,473,16,718,3080,9.74,859,14DES0006N,AUTLAN DE NAVARRO,2.18,0,0,88.6
MATUTINO,SI,18,SI,5,GENERAL,FEDERALIZADO,I ,I,14,29,275,65055,5.18,23.06,Bajo,-1.071,4,67937,274,2,96,4420,8.4,756,14DES0007M,LA BARCA,3.14,9.61,6.13,82.24
MATUTINO,SI,3,SI,6,GENERAL,FEDERALIZADO,I ,I,4,15,91,23362,3.32,16.24,Muy bajo,-1.325,,23630,274,0,159,1302,9.52,246,14DES0008L,AHUALULCO DE MERCADO,0.85,0,0,90.77
MATUTINO,SI,120,SI,9,GENERAL,FEDERALIZADO,II ,I,416,1626,17800,1332272,2.05,9.34,Muy bajo,-1.795,51,1476491,29317,69,14413,54121,11.47,17861,14DES0009K,ZAPOPAN,0,19.14,10.29,92.31
MATUTINO,SI,39,SI,1,GENERAL,FEDERALIZADO,II ,I,369,2007,35845,1460148,1.73,9.25,Muy bajo,-1.862,38,1385629,28303,35,4150,73785,10.96,21869,14DES0010Z,GUADALAJARA,2.55,0,0,84.78
